"Measure Id","Source","Stage","Interpretation","Unadjusted","Region + Controls","Within State"
"c17_english_multilingual","census_2001_c17","capability_acquisition","English acquisition among multilingual speakers","","","0.157610898202537"
"nss_enrollment","nss_64_education","schooling_access","Realized enrollment among age-eligible children","0.249186451822854","0.176914755716785","0.119565649992409"
"nss_emi_enrolled","nss_64_education","formal_english_exposure","English-medium choice conditional on enrollment and observed medium","0.364038713249004","0.174806992621847","0.0328794208045585"
"nss_emie_all_children","nss_64_education","formal_english_exposure","Combined enrollment and English-medium exposure","0.376462539996759","0.189652766505232","0.0626379289077879"
"nss_private_enrollment","nss_64_education","institution_choice","Realized private-school enrollment conditional on enrollment","-0.106617056776997","-0.0410447762923977","-0.0630128509286892"
"nss_emi_public","nss_64_education","institutional_bundle","English-medium choice within public schooling","0.330739325480894","0.175626654786433","0.0545070403149643"
"nss_emi_private","nss_64_education","institutional_bundle","English-medium choice within private schooling","0.449636455090117","0.190286197513889","0.0928370965087421"
"dise_emi_enrollment","dise","school_system_structure","Administrative English-medium enrollment composition","0.402512411577507","0.141871061773566","0.0451005559042664"
"dise_private_school_share","dise","school_system_structure","Private-school share of the school stock","0.17357354729608","0.108430114067323","-0.0450011410266438"
"dise_single_teacher_share","dise","school_quality","Single-teacher-school prevalence in 2007-08","0.050975650835371","-0.0928771269855317","0.0720684404702537"
"dise_girls_toilet_share","dise","school_quality","Girls-toilet availability among schools in 2007-08","-0.41296300698856","-0.188443482026022","-0.122178053115928"
