"specification_id","adjustment_id","construction_id","fixed_effect","tested_variable","n_excluded_instruments","excluded_instruments","estimate","std.error","p.value","standardized_effect","joint_f","joint_p","n","status","reason","p_holm_within_spec"
"region_main__nonzero_mean","region_main","nonzero_mean","region","manufacturing_share_among_main_workers",1,"ling_distance_nonzero_mean",0.00997028529073549,0.0038922946959621,0.0106833892515753,0.127212374445586,6.56150919872174,0.0106833892515753,573,"estimated",,0.0904993040400075
"region_main__nonzero_mean","region_main","nonzero_mean","region","construction_share_among_main_workers",1,"ling_distance_nonzero_mean",-0.00270585500011891,0.00118077055856377,0.0223016589459151,-0.118174550700778,5.25143517170555,0.0223016589459151,573,"estimated",,0.111508294729576
"region_main__nonzero_mean","region_main","nonzero_mean","region","trade_share_among_main_workers",1,"ling_distance_nonzero_mean",-0.00315710312603431,0.00159201044727006,0.047848746234051,-0.128732438360599,3.93265374129131,0.047848746234051,573,"estimated",,0.191394984936204
"region_main__nonzero_mean","region_main","nonzero_mean","region","transport_communication_share_among_main_workers",1,"ling_distance_nonzero_mean",-0.00159112646056526,0.00125961687126218,0.207052908799631,-0.0886386561232941,1.59563097514331,0.207052908799631,573,"estimated",,0.621158726398893
"region_main__nonzero_mean","region_main","nonzero_mean","region","finance_realestate_business_share_among_main_workers",1,"ling_distance_nonzero_mean",0.00261507425047604,0.00106302512417817,0.0141956602812113,0.152198372996822,6.05175016613959,0.0141956602812112,573,"estimated",,0.0993696219684791
"region_main__nonzero_mean","region_main","nonzero_mean","region","public_social_other_services_share_among_main_workers",1,"ling_distance_nonzero_mean",0.0060075966428726,0.00247340666291104,0.0154616515469894,0.108371267783497,5.89943579736384,0.0154616515469893,573,"estimated",,0.0993696219684791
"region_main__nonzero_mean","region_main","nonzero_mean","region","manager_professional_technical_share",1,"ling_distance_nonzero_mean",0.00204018357212457,0.00318467361636061,0.522029871399585,0.0435458522112299,0.410401210002798,0.522029871399585,573,"estimated",,1
"region_main__nonzero_mean","region_main","nonzero_mean","region","clerical_service_sales_share",1,"ling_distance_nonzero_mean",0.00150829727122359,0.00461780445060409,0.744073319295054,0.0203934988660571,0.106684865669608,0.744073319295053,573,"estimated",,1
"region_main__nonzero_mean","region_main","nonzero_mean","region","craft_machine_operator_share",1,"ling_distance_nonzero_mean",0.0139386529847511,0.00539678664253775,0.0100554782266675,0.115343072346536,6.67069546308704,0.0100554782266675,573,"estimated",,0.0904993040400075
"region_main__nonzero_mean","region_main","nonzero_mean","region","elementary_occupation_share",1,"ling_distance_nonzero_mean",-0.0181056951650189,0.00586215027346394,0.00211160445274081,-0.177728426120575,9.53930015036098,0.00211160445274081,573,"estimated",,0.0211160445274081
"region_main__glottolog_mean","region_main","glottolog_mean","region","manufacturing_share_among_main_workers",1,"ling_distance_glottolog_nonhindi_mean",0.000298355052276354,0.00129238864884264,0.817511970140688,0.0143413184976,0.0532942706520723,0.817511970140688,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","construction_share_among_main_workers",1,"ling_distance_glottolog_nonhindi_mean",2.055726500469e-05,0.000339171793702865,0.951691441836808,0.00338235108534591,0.00367359446911385,0.951691441836808,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","trade_share_among_main_workers",1,"ling_distance_glottolog_nonhindi_mean",-0.000128799168865891,0.000434053612686429,0.766779173894204,-0.0197854621359465,0.0880520295333195,0.766779173894204,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","transport_communication_share_among_main_workers",1,"ling_distance_glottolog_nonhindi_mean",0.000205491857780662,0.000404241637075353,0.611417131244071,0.043126776113546,0.258408710524772,0.611417131244071,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","finance_realestate_business_share_among_main_workers",1,"ling_distance_glottolog_nonhindi_mean",0.000292858640751992,0.000297803712293791,0.325840861387985,0.064212257518396,0.967065455914011,0.325840861387985,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","public_social_other_services_share_among_main_workers",1,"ling_distance_glottolog_nonhindi_mean",-0.000375758690927528,0.000956999785568078,0.694734101696192,-0.0255362036520953,0.154168052901331,0.694734101696192,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","manager_professional_technical_share",1,"ling_distance_glottolog_nonhindi_mean",0.000466808679705049,0.000931645230065824,0.616528319250304,0.0375362066693904,0.251059532430537,0.616528319250304,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","clerical_service_sales_share",1,"ling_distance_glottolog_nonhindi_mean",-0.000261942258763362,0.00149387470331907,0.860873023193088,-0.0133427170667043,0.0307455870673983,0.860873023193088,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","craft_machine_operator_share",1,"ling_distance_glottolog_nonhindi_mean",0.00277037833821053,0.00254050777362324,0.27597317949282,0.0863661783985568,1.18915128438971,0.27597317949282,573,"estimated",,1
"region_main__glottolog_mean","region_main","glottolog_mean","region","elementary_occupation_share",1,"ling_distance_glottolog_nonhindi_mean",-0.00329774484049225,0.00209187501180653,0.115489975557135,-0.121953045793435,2.48520738085903,0.115489975557135,573,"estimated",,1
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","manufacturing_share_among_main_workers",1,"ling_distance_dyen_noncognate_pct",0.000416594453588682,0.0001818408888785,0.0223376134723579,0.107247955621153,5.24860483140071,0.0223376134723579,573,"estimated",,0.178700907778863
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","construction_share_among_main_workers",1,"ling_distance_dyen_noncognate_pct",-0.000130947256008528,7.11718304241696e-05,0.0663194944566024,-0.115390380962918,3.38513921459341,0.0663194944566024,573,"estimated",,0.395221103674682
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","trade_share_among_main_workers",1,"ling_distance_dyen_noncognate_pct",-0.000151714583989087,7.41738794655324e-05,0.0412864483456392,-0.124818891987783,4.18362425988955,0.0412864483456391,573,"estimated",,0.289005138419474
"region_main__dyen_noncognate","region_main","dyen_noncognate","region","transport_communication_share_among_main_workers",1,"ling_distance_dyen_noncognate_pct",-1.37905943079562e-05,5.02180333034534e-05,0.783714519548949,-0.015500839257375,0.0754130601910239,0.783714519548949,573,"estimated",,1
