"tracker_row","period","state_start","state_end","district_start","district_end"
240,"05_to_06","Jammu and Kashmir","Jammu and Kashmir","Doda","Ramban"
242,"05_to_06","Jammu and Kashmir","Jammu and Kashmir","Jammu
","Samba"
485,"05_to_06","Pondicherry","Puducherry","Pondicherry","Puducherry"
488,"05_to_06","Punjab","Punjab","Sangrur","Barnala"
506,"05_to_06","Punjab","Punjab","Rupnagar","S.A.S. Nagar"
508,"05_to_06","Punjab","Punjab","Amritsar","Tarn Taran"
11,"07_to_08","Andhra Pradesh","Andhra Pradesh","Nellore","S.P.S. Nellore"
204,"07_to_08","Haryana","Haryana","Gurgaon","Palwal"
260,"07_to_08","Jharkhand","Jharkhand","Ranchi","Khunti"
266,"07_to_08","Jharkhand","Jharkhand","Hazaribagh","Ramgarh"
279,"07_to_08","Karnataka","Karnataka","Kolar","Chikkaballapura"
502,"07_to_08","Punjab","Punjab","Nawanshahr","Shahid Bhagat Singh Nagar"
534,"07_to_08","Rajasthan","Rajasthan","Chittorgarh","Pratapgarh"
668,"07_to_08","Uttar Pradesh","Uttar Pradesh","Etah","Kasganj"
349,"17_to_18","Madhya Pradesh","Madhya Pradesh","Tikamgarh","Niwari"
626,"17_to_18","Uttar Pradesh","Uttar Pradesh","Allahabad","Prayagraj"
649,"17_to_18","Uttar Pradesh","Uttar Pradesh","Faizabad","Ayodhya"
