"tracker_row","years","states","first_state","last_state"
141,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Dadra and Nagar Haveli -> Dadra and Nagar Haveli and Daman and Diu","Dadra and Nagar Haveli","Dadra and Nagar Haveli and Daman and Diu"
142,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Daman and Diu -> Dadra and Nagar Haveli and Daman and Diu","Daman and Diu","Dadra and Nagar Haveli and Daman and Diu"
143,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Daman and Diu -> Dadra and Nagar Haveli and Daman and Diu","Daman and Diu","Dadra and Nagar Haveli and Daman and Diu"
246,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Jammu and Kashmir -> Ladakh","Jammu and Kashmir","Ladakh"
247,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Jammu and Kashmir -> Ladakh","Jammu and Kashmir","Ladakh"
453,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
454,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
455,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
456,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
457,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
458,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
459,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
460,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
461,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
462,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
463,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
464,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
465,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
466,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
467,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
468,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
469,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
470,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
471,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
472,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
473,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
474,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
475,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
476,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
477,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
478,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
479,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
480,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
481,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
482,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Orissa -> Odisha","Orissa","Odisha"
483,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Pondicherry -> Puducherry","Pondicherry","Puducherry"
484,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Pondicherry -> Puducherry","Pondicherry","Puducherry"
485,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Pondicherry -> Puducherry","Pondicherry","Puducherry"
486,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Pondicherry -> Puducherry","Pondicherry","Puducherry"
583,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
584,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
585,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
586,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
587,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
588,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
589,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
590,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
591,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
592,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
593,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
594,"2001;2005;2006;2007;2008;2011;2017;2018;2019;2020","Andhra Pradesh -> Telangana","Andhra Pradesh","Telangana"
