mother_tongue_code,mother_tongue,assigned_shastry_degree,shastry_anchor,lsi_classification,lsi_volume,lsi_year,lsi_pages,lsi_url,lsi_evidence,decision_basis,confidence,sensitivity_degrees,review_status,notes
006045,Bhojpuri,3,Bihari,Bihari / Bhojpuri,V(II),1903,1; 186,https://dsal.uchicago.edu/LSI/volume/V%20Indo-Aryan%2C%20eastern%20group,LSI V(II) treats Bhojpuri as a dialect within Bihari; the later Ethnologue proxy places Bhojpuri nearest the degree-3 eastern anchors.,lsi_plus_historical_tree,high,,accepted,Directly inherits Shastry's published Bihari degree.
006179,Magadhi/Magahi,3,Bihari,Bihari / Magahi,V(II),1903,1; 36,https://dsal.uchicago.edu/LSI/volume/V%20Indo-Aryan%2C%20eastern%20group,LSI V(II) treats Magahi as a principal Bihari variety; the later Ethnologue proxy places Magahi nearest the degree-3 eastern anchors.,lsi_plus_historical_tree,high,,accepted,Directly inherits Shastry's published Bihari degree.
006251,Sadan/Sadri,3,Bihari,Bihari / Nagpuria-Sadri,V(II),1903,140; 266,https://glottolog.org/resource/reference/id/59751,Grierson's V(II) material includes Sadri Kol and Nagpuria or Sadan within the Bihari volume; the historical proxy likewise places Sadri with the Bihari/eastern branch.,lsi_plus_historical_tree,high,,accepted,Treat Sadan/Sadri as the Nagpuria/Sadri Bihari variety for the Shastry anchor.
006192,Marwari,1,Rajasthani,Western Rajasthani / Marwari,IX(II),1908,1-3; 87,https://books.google.com/books?id=uT1BAQAAMAAJ,"LSI IX(II) defines Rajasthani and treats Marwari as a principal Rajasthani dialect; the historical proxy's nearest scored anchors are Gujarati and Punjabi, both degree 1.",lsi_plus_historical_tree,high,,accepted,Directly inherits Shastry's published Rajasthani degree.
006187,Malvi,1,Rajasthani,South-Eastern Rajasthani / Malvi,IX(II),1908,1-3; 240,https://books.google.com/books?id=uT1BAQAAMAAJ,LSI IX(II) places Malvi within its Rajasthani classification and gives Malvi its own section at page 240; the historical proxy's nearest scored anchors are degree-1 Gujarati/Punjabi.,lsi_plus_historical_tree,high,,accepted,Directly inherits Shastry's published Rajasthani degree.
006195,Mewari,1,Rajasthani,Western Rajasthani / Mewari,IX(II),1908,1-3,https://glottolog.org/resource/reference/id/50330,Grierson IX(II) includes Mewari among the Rajasthani varieties; the historical proxy's nearest scored anchors are degree-1 Gujarati/Punjabi.,lsi_plus_historical_tree,high,,accepted,Directly inherits Shastry's published Rajasthani degree.
006196,Mewati,1,Rajasthani,North-Eastern Rajasthani / Mewati,IX(II),1908,1-3; 221,https://books.google.com/books?id=uT1BAQAAMAAJ,LSI IX(II) treats Mewati within Rajasthani and begins its Mewati section at page 221; the historical proxy's nearest scored anchors are degree-1 Gujarati/Punjabi.,lsi_plus_historical_tree,high,,accepted,Directly inherits Shastry's published Rajasthani degree.
006116,Harauti,1,Rajasthani,Central-Eastern Rajasthani / Harauti,IX(II),1908,2-3,https://glottolog.org/resource/reference/id/50330,Grierson IX(II) lists Harauti among the Rajasthani varieties; its classification therefore maps to Shastry's published Rajasthani degree.,lsi_classification,high,,accepted,No lexical tie-break is required because the historical classification is inside Rajasthani.
006117,Haryanvi,0,Hindi,Western Hindi / Bangaru-Hariani,IX(I),1916,1; 63,https://books.google.com/books?id=Gj5BAQAAMAAJ,Grierson's Western Hindi treatment places the Haryana/Bangaru speech in Western Hindi; the historical proxy makes Hindi the unique nearest scored anchor.,lsi_plus_historical_tree,high,,accepted,Assigned the published Hindi anchor degree rather than inheriting zero from the Census Hindi umbrella.
006060,Bundeli/Bundelkhandi,0,Hindi,Western Hindi / Bundeli,IX(I),1916,1,https://dsal.uchicago.edu/books/lsi/,Grierson classifies Bundeli as Western Hindi; the historical proxy makes Hindi the unique nearest scored anchor.,lsi_plus_historical_tree,high,,accepted,Assigned the published Hindi anchor degree.
