measure_id,variable,source,unit,stage,numerator,denominator,population,source_side,interpretation,paper_role,preferred
c17_english_multilingual,english_share_multilingual,census_2001_c17,state_language,capability_acquisition,English-acquiring multilingual native-language speakers,Multilingual native-language speakers,Native-language speakers reporting at least one subsidiary language,linguistic_behavior,English acquisition among multilingual speakers,linguistic_behavioral_mechanism,TRUE
c17_hindi_multilingual,hindi_share_multilingual,census_2001_c17,state_language,capability_acquisition,Hindi-acquiring multilingual native-language speakers,Multilingual native-language speakers,Native-language speakers reporting at least one subsidiary language,linguistic_behavior,Hindi acquisition among multilingual speakers,language_substitution,FALSE
c17_multilingual_share,multilingual_share_native,census_2001_c17,state_language,capability_acquisition,Native-language speakers reporting at least one subsidiary language,Native-language speakers,Native-language speakers,linguistic_behavior,Multilingualism among native-language speakers,multilingualism_placebo,FALSE
nss_enrollment,enrollment_rate_0708,nss_64_education,district,schooling_access,Survey-weighted enrolled age-eligible children,Survey-weighted age-eligible children,Age-eligible children age 5-19,household_realized,Realized enrollment among age-eligible children,schooling_access,TRUE
nss_emi_enrolled,emi_share_enrolled_0708,nss_64_education,district,formal_english_exposure,Survey-weighted English-medium enrolled children,Survey-weighted enrolled children with known medium,Enrolled age-eligible children with known medium,household_realized,English-medium choice conditional on enrollment and observed medium,formal_english_exposure,TRUE
nss_emie_all_children,emi_exposure_all_children_0708,nss_64_education,district,formal_english_exposure,Survey-weighted English-medium enrolled children,Survey-weighted age-eligible children,Age-eligible children age 5-19,household_realized,Combined enrollment and English-medium exposure,combined_exposure,TRUE
nss_private_enrollment,private_share_enrolled_0708,nss_64_education,district,institution_choice,Survey-weighted private aided or unaided enrolled children,Survey-weighted enrolled children with known management,Enrolled age-eligible children with known management,household_realized,Realized private-school enrollment conditional on enrollment,institution_choice_context,TRUE
nss_emi_public,emi_share_enrolled_public_0708,nss_64_education,district,institutional_bundle,Survey-weighted English-medium public-school children,Survey-weighted public-school children with known medium,Enrolled government or local-body children with known medium,household_realized,English-medium choice within public schooling,institutional_bundle,TRUE
nss_emi_private,emi_share_enrolled_private_0708,nss_64_education,district,institutional_bundle,Survey-weighted English-medium private-school children,Survey-weighted private-school children with known medium,Enrolled private aided or unaided children with known medium,household_realized,English-medium choice within private schooling,institutional_bundle,TRUE
dise_emi_enrollment,dise_emi_enrollment_share_total_0708,dise,district,school_system_structure,English-medium enrollment,Total elementary enrollment,DISE district elementary enrollment,administrative_equilibrium,Administrative English-medium enrollment composition,formal_english_exposure,TRUE
dise_private_school_share,dise_private_school_share_0708,dise,district,school_system_structure,Private schools,All schools,DISE district school stock,administrative_supply,Private-school share of the school stock,institutional_environment,TRUE
dise_single_teacher_share,dise_single_teacher_school_share_0708,dise,district,school_quality,Single-teacher schools,All schools,DISE 2007-08 district school stock,administrative_supply,Single-teacher-school prevalence in 2007-08,complementarity,TRUE
dise_girls_toilet_share,dise_girls_toilet_school_share_0708,dise,district,school_quality,Schools reporting girls' toilet facilities,All schools,DISE 2007-08 district school stock,administrative_supply,Girls-toilet availability among schools in 2007-08,complementarity,TRUE
