canonical_language,distance_from_hindi,mapping_basis,source_page,notes
Hindi,0,explicit,294-295,Treated with Urdu as the same zero-distance language in the primary convention.
Urdu,0,explicit,294-295,Treated with Hindi as the same zero-distance language in the primary convention.
Gujarati,1,explicit,294-295,
Punjabi,1,explicit,294-295,
Rajasthani,1,explicit,294-295,
Konkani,2,explicit,294-295,
Marathi,2,explicit,294-295,
Assamese,3,explicit,294-295,
Bengali,3,explicit,294-295,
Bihari,3,explicit,294-295,
Maithili,3,grouped_to_bihari,294-295,Census 2001 reports Maithili separately; grouped to Shastry's Bihari category.
Oriya,3,explicit,294-295,
Odia,3,spelling_alias,294-295,Alias for Oriya.
Kashmiri,4,explicit,294-295,
Sindhi,4,explicit,294-295,
Sinhalese,4,explicit,294-295,
Bodo,5,non_indo_european,294-295,Shastry assigns all non-Indo-European languages to degree five.
Kannada,5,non_indo_european,294-295,
Malayalam,5,non_indo_european,294-295,
Manipuri,5,non_indo_european,294-295,
Santali,5,non_indo_european,294-295,
Tamil,5,non_indo_european,294-295,
Telugu,5,non_indo_european,294-295,
Adi,5,non_indo_european,294-295,
Angami,5,non_indo_european,294-295,
Ao,5,non_indo_european,294-295,
Bhotia,5,non_indo_european,294-295,
Bhumij,5,non_indo_european,294-295,
Chang,5,non_indo_european,294-295,
Deori,5,non_indo_european,294-295,
Gadaba,5,non_indo_european,294-295,
Gangte,5,non_indo_european,294-295,
Garo,5,non_indo_european,294-295,
Gondi,5,non_indo_european,294-295,
Halam,5,non_indo_european,294-295,
Ho,5,non_indo_european,294-295,
Kharia,5,non_indo_european,294-295,
Khasi,5,non_indo_european,294-295,
Khezha,5,non_indo_european,294-295,
Khond/Kondh,5,non_indo_european,294-295,
Koda/Kora,5,non_indo_european,294-295,
Konda,5,non_indo_european,294-295,
Kui,5,non_indo_european,294-295,
Kurukh/Oraon,5,non_indo_european,294-295,
Ladakhi,5,non_indo_european,294-295,
Lahauli,5,non_indo_european,294-295,
Lushai/Mizo,5,non_indo_european,294-295,
Malto,5,non_indo_european,294-295,
Maram,5,non_indo_european,294-295,
Munda,5,non_indo_european,294-295,
Mundari,5,non_indo_european,294-295,
Nissi/Dafla,5,non_indo_european,294-295,
Nocte,5,non_indo_european,294-295,
Paite,5,non_indo_european,294-295,
Rengma,5,non_indo_european,294-295,
Savara,5,non_indo_european,294-295,
Tamang,5,non_indo_european,294-295,
Thado,5,non_indo_european,294-295,
Tibetan,5,non_indo_european,294-295,
Tripuri,5,non_indo_european,294-295,
Tulu,5,non_indo_european,294-295,
Zemi,5,non_indo_european,294-295,
