mother_tongue_code,mother_tongue,canonical_language,language_glottocode,glottolog_name,family_id,iso639P3code,glottolog_level,match_basis,review_status,notes
001002,Assamese,Assamese,assa1263,Assamese,indo1319,asm,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
001999,Others,Assamese,,,,,,,unresolved,
002004,Bengali,Bengali,beng1280,Bengali,indo1319,ben,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
002007,Chakma,Bengali,chak1266,Chakma,indo1319,ccp,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
002009,Haijong/Hajong,Bengali,hajo1238,Hajong,indo1319,haj,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
002023,Rajbangsi,Bengali,,,,,,,unresolved,
002999,Others,Bengali,,,,,,,unresolved,
003001,Bodo,Bodo,bodo1269,Bodo-Mech,sino1245,brx,language,manual_disambiguation,accepted_manual,Indian Bodo/Mech language (ISO brx); disambiguates unrelated Bodo aliases.
003999,Others,Bodo,,,,,,,unresolved,
004001,Dogri,Dogri,dogr1250,Dogri,indo1319,dgo,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
004999,Others,Dogri,,,,,,,unresolved,
005011,Gujarati,Gujarati,guja1252,Gujarati,indo1319,guj,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
005012,Gujrao/Gujrau,Gujarati,,,,,,,unresolved,
005036,Saurashtra/Saurashtri,Gujarati,saur1248,Saurashtra,indo1319,saz,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
005999,Others,Gujarati,,,,,,,unresolved,
006008,Awadhi,Hindi,awad1243,Awadhi,indo1319,awa,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006016,Bagheli/Baghel Khandi,Hindi,bagh1251,Bagheli,indo1319,bfy,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006017,Bagri Rajasthani,Hindi,,,,,,,unresolved,
006026,Banjari,Hindi,,,,,,,unresolved,
006038,Bhadrawahi,Hindi,bhad1241,Bhadrawahi,indo1319,bhd,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006042,Bharmauri/Gaddi,Hindi,gadd1242,Gaddi,indo1319,gbk,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006045,Bhojpuri,Hindi,bhoj1244,Bhojpuri,indo1319,bho,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006059,Brajbhasha,Hindi,,,,,,,unresolved,
006060,Bundeli/Bundelkhandi,Hindi,bund1253,Bundeli,indo1319,bns,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006064,Chambeali,Hindi,cham1307,Chambeali,indo1319,cdh,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006072,Chhattisgarhi,Hindi,chha1249,Chhattisgarhi,indo1319,hne,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006074,Churahi,Hindi,chur1258,Churahi,indo1319,cdj,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006084,Dhundhari,Hindi,,,,,,,unresolved,
006095,Garhwali,Hindi,garh1243,Garhwali,indo1319,gbm,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006103,Gojri,Hindi,,,,,,,unresolved,
006116,Harauti,Hindi,hado1235,Hadothi,indo1319,hoj,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006117,Haryanvi,Hindi,hary1238,Haryanvi,indo1319,bgc,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006118,Hindi,Hindi,hind1269,Hindi,indo1319,hin,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006127,Jaunsari,Hindi,jaun1243,Jaunsari,indo1319,jns,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006138,Kangri,Hindi,kang1280,Kangri,indo1319,xnr,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006145,Khairari,Hindi,mewa1249,Mewari,indo1319,mtr,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006148,Khari Boli,Hindi,hind1269,Hindi,indo1319,hin,language,deterministic_exact_primary,accepted_deterministic,Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.
006153,Khortha/Khotta,Hindi,,,,,,,unresolved,
006160,Kulvi,Hindi,,,,,,,unresolved,
006162,Kumauni,Hindi,,,,,,,unresolved,
006165,Kurmali Thar,Hindi,,,,,,,unresolved,
006167,Labani,Hindi,,,,,,,unresolved,
