questionnaire,section,item_code,reference_days,include_in_mpce
F,5.1,129,30,TRUE
F,5.1,139,30,TRUE
F,5.2,159,30,TRUE
F,5.3,179,30,TRUE
F,6.1,169,7,TRUE
F,6.2,219,7,TRUE
F,6.3,239,7,TRUE
F,6.4,249,7,TRUE
F,6.5,199,7,TRUE
F,6.6,189,7,TRUE
F,6.7,269,7,TRUE
F,6.8,279,7,TRUE
F,7.1,289,7,TRUE
F,7.2,299,7,TRUE
C,8.1,349,30,TRUE
C,9.1,459,30,TRUE
C,9.2,479,30,TRUE
C,10.1,409,365,TRUE
C,10.2,419,365,TRUE
C,10.3,429,30,TRUE
C,11.1,519,30,TRUE
C,11.2,499,30,TRUE
C,11.3,439,30,TRUE
C,11.4,529,30,TRUE
C,11.4,539,30,FALSE
C,11.4,899,365,TRUE
C,12.1,309,7,TRUE
C,12.2,319,7,TRUE
C,12.3,329,7,TRUE
D,13.1,379,365,TRUE
D,13.2,399,365,TRUE
D,13.3,389,365,TRUE
D,14.1,629,365,TRUE
D,14.2,609,365,TRUE
D,14.3,099,365,TRUE
D,14.4,619,365,TRUE
D,14.5,599,365,TRUE
D,14.6,579,365,TRUE
D,14.7,559,365,TRUE
D,14.8,569,365,TRUE
D,14.9,639,365,TRUE
D,14.10,649,365,TRUE
