"state_std","district_std","source_year","district_key","source","match_status","possible_false_positive","many_to_many","diagnostic_role","legacy_note"
"01","01",2001,"2001__01__01","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","02",2001,"2001__01__02","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","03",2001,"2001__01__03","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","04",2001,"2001__01__04","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","05",2001,"2001__01__05","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","06",2001,"2001__01__06","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","07",2001,"2001__01__07","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","08",2001,"2001__01__08","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","09",2001,"2001__01__09","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","10",2001,"2001__01__10","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","11",2001,"2001__01__11","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","12",2001,"2001__01__12","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","13",2001,"2001__01__13","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
"01","14",2001,"2001__01__14","2001","source_key_unmatched",FALSE,FALSE,"source_key_inventory_not_true_unmatched_rows","These rows are the source-key inventory emitted by the fallback key-map path, not the legacy Chunk 20 unmatched_df output from merge_dfs_into_tracker()."
