"group_id","group_column","n_panel","n_common","common_share","status","missing_columns"
"alt_welfare__bottom40_mean_real_mpce__long_2022__ancova","welfare_specification_id",573,442,0.771378708551483,"ready",
"alt_welfare__bottom40_mean_real_mpce__long_2022__change","welfare_specification_id",573,442,0.771378708551483,"ready",
"alt_welfare__bottom40_mean_real_mpce__long_2023__ancova","welfare_specification_id",573,444,0.774869109947644,"ready",
"alt_welfare__bottom40_mean_real_mpce__long_2023__change","welfare_specification_id",573,444,0.774869109947644,"ready",
"alt_welfare__mean_log_real_mpce__early_2009__ancova","welfare_specification_id",573,521,0.909249563699825,"ready",
"alt_welfare__mean_log_real_mpce__early_2009__change","welfare_specification_id",573,521,0.909249563699825,"ready",
"alt_welfare__mean_log_real_mpce__long_2022__ancova","welfare_specification_id",573,524,0.914485165794066,"ready",
"alt_welfare__mean_log_real_mpce__long_2022__change","welfare_specification_id",573,524,0.914485165794066,"ready",
"alt_welfare__mean_log_real_mpce__long_2023__ancova","welfare_specification_id",573,522,0.910994764397906,"ready",
"alt_welfare__mean_log_real_mpce__long_2023__change","welfare_specification_id",573,522,0.910994764397906,"ready",
"alt_welfare__mean_log_real_mpce__medium_2011__ancova","welfare_specification_id",573,525,0.916230366492147,"ready",
"alt_welfare__mean_log_real_mpce__medium_2011__change","welfare_specification_id",573,525,0.916230366492147,"ready",
"alt_welfare__weighted_median_real_mpce__early_2009__ancova","welfare_specification_id",573,521,0.909249563699825,"ready",
"alt_welfare__weighted_median_real_mpce__early_2009__change","welfare_specification_id",573,521,0.909249563699825,"ready",
"alt_welfare__weighted_median_real_mpce__long_2022__ancova","welfare_specification_id",573,524,0.914485165794066,"ready",
"alt_welfare__weighted_median_real_mpce__long_2022__change","welfare_specification_id",573,524,0.914485165794066,"ready",
"alt_welfare__weighted_median_real_mpce__long_2023__ancova","welfare_specification_id",573,522,0.910994764397906,"ready",
"alt_welfare__weighted_median_real_mpce__long_2023__change","welfare_specification_id",573,522,0.910994764397906,"ready",
"alt_welfare__weighted_median_real_mpce__medium_2011__ancova","welfare_specification_id",573,525,0.916230366492147,"ready",
"alt_welfare__weighted_median_real_mpce__medium_2011__change","welfare_specification_id",573,525,0.916230366492147,"ready",
