"pair_source","n_pairs","coverage_note"
"join_map_district_01_to_district_05",21,"active source/tracker candidate pair emitted by the current pipeline"
"join_map_district_05_to_district_06",6,"active source/tracker candidate pair emitted by the current pipeline"
"join_map_district_06_to_district_07",8,"active source/tracker candidate pair emitted by the current pipeline"
"join_map_district_07_to_district_08",8,"active source/tracker candidate pair emitted by the current pipeline"
"join_map_district_08_to_district_11",29,"active source/tracker candidate pair emitted by the current pipeline"
"join_map_district_11_to_district_17",79,"active source/tracker candidate pair emitted by the current pipeline"
"join_map_district_17_to_district_18",3,"active source/tracker candidate pair emitted by the current pipeline"
"join_map_district_18_to_district_19",10,"active source/tracker candidate pair emitted by the current pipeline"
"legacy_troublesome_comment",9,"legacy hand-picked examples from Chunk 16"
"tracker_2001_to_2005",21,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2001_to_2007",35,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2005_to_2006",6,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2006_to_2007",8,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2007_to_2008",8,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2007_to_2017",102,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2008_to_2011",29,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2011_to_2017",79,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2017_to_2018",3,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2017_to_2020",13,"active source/tracker candidate pair emitted by the current pipeline"
"tracker_2018_to_2019",10,"active source/tracker candidate pair emitted by the current pipeline"
