"beta","statistic","p.value","accepted","acceptance_component","specification_id","outcome_id","outcome_variable","adjustment_id","construction_id","fixed_effect"
-0.0821985379071397,0.146226995313155,0.702407704422305,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.081787545217604,0.146142501839317,0.702489575467155,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0813765525280683,0.146057141165997,0.70257231435471,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0809655598385326,0.145970900014661,0.702655934830152,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0805545671489969,0.145883764837077,0.702740450927982,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0801435744594612,0.145795721808369,0.702825876979751,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0797325817699255,0.145706756820103,0.70291222762178,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0793215890803898,0.145616855472923,0.702999517803375,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0789105963908541,0.145526003069263,0.703087762794995,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0784996037013184,0.145434184605503,0.703176978197018,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0780886110117827,0.14534138476412,0.703267179948548,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.077677618322247,0.145247587905521,0.703358384336589,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0772666256327113,0.145152778059599,0.703450608005527,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0768556329431756,0.145056938917045,0.703543867966914,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0764446402536399,0.144960053820406,0.703638181609548,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0760336475641042,0.144862105754853,0.70373356670989,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0756226548745685,0.144763077338587,0.703830041442904,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
-0.0752116621850328,0.144662950813117,0.703927624393073,TRUE,1,"region_main__nonzero_mean","interstate_migrant_composition","interstate_share_among_migrants","region_main","nonzero_mean","region"
