"source_id","dataset","years","geography","analytical_role"
"census_2001_mother_tongue","Census of India 2001 C-16 Mother Tongue","2001","Census-2001 district","Inherited linguistic structure"
"census_2001_bilingualism","Census of India 2001 C-17 bilingualism and trilingualism","2001","State x native language","Language behavior"
"nss_2007_education","NSS 2007-08 Participation and Expenditure in Education, 64th Round","2007-08","NSS district","Schooling exposure and access"
"dise_district_report_cards","DISE/UDISE District Report Cards and raw district data, NIEPA/NUEPA","2005-06 to 2007-08","DISE district","Administrative schooling validation"
"nss_2004_05_consumption","NSS 2004-05 Household Consumer Expenditure, 61st Round","2004-05","Survey district -> Census-2001 district","Baseline welfare"
"nss_2009_10_consumption_type1","NSS 2009-10 Household Consumer Expenditure Type 1, 66th Round","2009-10","Survey district -> Census-2001 district","Early welfare sensitivity"
"nss_2009_10_consumption_type2","NSS 2009-10 Household Consumer Expenditure Type 2, 66th Round","2009-10","Survey district -> Census-2001 district","Early welfare"
"nss_2011_12_consumption_type2","NSS 2011-12 Household Consumer Expenditure Type 2, 68th Round","2011-12","Survey district -> Census-2001 district","Medium-run welfare"
"hces_2022_23_consumption","Household Consumption Expenditure Survey 2022-23","2022-23","Survey district -> Census-2001 district","Long-run welfare"
"hces_2023_24_consumption","Household Consumption Expenditure Survey 2023-24","2023-24","Survey district -> Census-2001 district","Long-run welfare replication"
"prices","RBI and Labour Bureau consumer price series","Multiple years","State x rural/urban price cell","Temporal and spatial deflation"
"census_2001_migration_tables","Census of India 2001 D-series migration tables","2001","Census-2001 district","Baseline migration structure"
"census_2011_migration_tables","Census of India 2011 D-series migration tables","2011","Census-2011 district","Follow-up migration and skill composition"
"census_housing_living_standards","Census of India 2001/2011 housing and living-standard tables","2001 and 2011","Census district -> Census-2001 district","Assets and financial inclusion"
"census_2001_household_tables","Census of India 2001 HH-09/HH-13/HH-15 household tables","2001","Census-2001 district","Baseline household capacity"
"census_2011_household_tables","Census of India 2011 HH-08/HH-10/HH-11 household tables","2011","Census-2011 district","Follow-up household capacity"
"economic_census_raw","Fifth (2005) and Sixth (2013-14) Economic Census microdata","2005 and 2013-14","District -> Census-2001 district","Scale and sectoral structure"
"nss_2009_10_employment","NSS 2009-10 Employment and Unemployment, 66th Round","2009-10","NSS district -> Census-2001 district","Labor-market reference"
"plfs_labor_market","Periodic Labour Force Survey labor-market microdata","2017-18","PLFS district -> Census-2001 district","Long-run labor outcomes"
