"state_code_1991","district_code_1991","state_code_2001","district_code_2001","panel_unit_id","dist91_state_id","dist91_district_id","parent_population_coverage","expected_target_2001_districts","parent_bridge_status","preferred_vanneman_parent_eligible"
"27",NA,NA,NA,"0100","27",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"02","01","28","11","0201","02","01",0.999971174356708,1,"preferred_single_target",TRUE
"02","02","28","12","0202","02","02",0.999481828897245,1,"preferred_single_target",TRUE
"02","03","28","13","0203","02","03",0.999451470622245,1,"preferred_single_target",TRUE
"02","04","28","14","0204","02","04",0.999959988867621,1,"preferred_single_target",TRUE
"02","05","28","15","0205","02","05",0.999969191330557,1,"preferred_single_target",TRUE
"02","06","28","16","0206","02","06",0.999122581097709,1,"preferred_single_target",TRUE
"02","07","28","17","0207","02","07",0.999862096718785,1,"preferred_single_target",TRUE
"02","08","28","18","0208","02","08",0.999387534643818,1,"preferred_single_target",TRUE
"02","09","28","19","0209","02","09",0.999299630687433,1,"preferred_single_target",TRUE
"02","10","28","23","0210","02","10",0.999981226462678,1,"preferred_single_target",TRUE
"02","11","28","20","0211","02","11",0.998679522084407,1,"merger_requires_amalgamation",FALSE
"02","12","28","20","0212","02","12",0.999967203168174,2,"merger_requires_amalgamation",FALSE
"02","12","28","22","0212","02","12",0.999967203168174,2,"merger_requires_amalgamation",FALSE
"02","13","28","21","0213","02","13",0.999995625875035,1,"preferred_single_target",TRUE
"02","14","28","07","0214","02","14",0.998585658341593,1,"preferred_single_target",TRUE
"02",NA,NA,NA,"0216","02",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"02","17","28","04","0217","02","17",0.999957626557555,1,"preferred_single_target",TRUE
"02","18","28","02","0218","02","18",0.999972031656097,1,"preferred_single_target",TRUE
"02","19","28","01","0219","02","19",0.999108184458718,1,"preferred_single_target",TRUE
"02","20","28","03","0220","02","20",0.999639438857341,1,"preferred_single_target",TRUE
"02","21","28","09","0221","02","21",0.999961506301205,1,"preferred_single_target",TRUE
"02","22","28","10","0222","02","22",0.998955234860044,1,"preferred_single_target",TRUE
"02","23","28","08","0223","02","23",0.999992627390788,1,"preferred_single_target",TRUE
"03",NA,NA,NA,"0300","03",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"04","04","18","03","0401","04","04",0.989196964911467,1,"insufficient_1991_population_coverage",FALSE
"04","07","18","06","0402","04","07",0.998890354081562,1,"preferred_single_target",TRUE
"04","08","18","08","0403","04","08",0.99002198780929,1,"preferred_single_target",TRUE
"04","13","18","10","0404","04","13",0.997864433148482,1,"preferred_single_target",TRUE
"04","16","18","16","0405","04","16",0.999216180169913,1,"preferred_single_target",TRUE
"04",NA,NA,NA,"0406","04",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
"04",NA,NA,NA,"0408","04",NA,NA,NA,"panel_to_1991_not_preferred",FALSE
