"specification_id","specification","treatment","instrument","omitted_state","estimate","excluded_instrument_f","estimate_change","f_change"
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","01",0.218498085362771,0.154274818190413,-0.697311697879802,-0.86043733384217
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","02",1.19965044377952,1.37398276327484,0.283840660536945,0.359270611242256
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","03",0.915800727900293,1.02381047698308,-9.05534227946259e-06,0.00909832495049923
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","04",0.915809783242567,1.01560991516408,-5.6621374255883e-15,0.000897763131501028
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","05",0.994462321210279,1.07061769704557,0.0786525379677064,0.0559055450129831
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","06",0.917078840209582,1.00942334335183,0.00126905696700919,-0.00528880868074988
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","07",0.874309701463579,0.948857014357379,-0.0415000817789931,-0.0658551376752036
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","08",0.875910112296746,0.934363085838179,-0.0398996709458268,-0.0803490661944034
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","09",1.19075827609984,1.04908486659358,0.274948492857264,0.0343727145610018
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","10",0.905668064114764,0.90670239904233,-0.0101417191278083,-0.108009752990253
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","11",0.898761236384943,0.979769642666115,-0.0170485468576292,-0.0349425093664674
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","12",0.772237062825076,0.800454286634194,-0.143572720417496,-0.214257865398389
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","13",0.828838327140327,0.827007512398241,-0.0869714561022452,-0.187704639634341
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","14",0.893711606349635,0.992851407379026,-0.0220981768929372,-0.0218607446535564
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","15",1.02982600158689,1.26222213241388,0.114016218344317,0.247509980381298
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","16",0.917463880751177,1.01931292416001,0.00165409750860412,0.00460077212742904
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","17",0.912361989081488,1.00760845317102,-0.00344779416108443,-0.00710369886155959
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","18",0.836390103084145,0.860276606187685,-0.0794196801584273,-0.154435545844898
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","19",0.945544766959976,1.11187657260692,0.029734983717404,0.0971644205743396
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","20",0.930649154985597,1.00068672488355,0.0148393717430244,-0.0140254271490323
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","21",0.973874503896505,1.11183996364978,0.058064720653933,0.0971278116171967
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","22",0.930242772404941,0.969512824464693,0.0144329891623682,-0.0451993275678894
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","23",1.82157474378406,2.32169572751529,0.905764960541485,1.30698357548271
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","24",0.924719981200367,0.935655621949496,0.00891019795779424,-0.0790565300830863
"state_fe_expanded_controls","State fixed effects + expanded Census controls","emi_exposure_all_children_0708","ling_distance_nonzero_mean","25",0.935420347245419,1.05925108650367,0.0196105640028462,0.0445389344710827
